Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Mazen | ♂ | Az arab Mazin alakváltozata | dicsőítő | „néhány előfordulás” → „néhány előfordulás”
Medárd | ♂ | A germán Machthard névnek a latin Medardus formájából | hatalom + erős ; merész | „nagyon ritka” → „elég ritka”
Medox | ♂ | Angol név wellsi eredetű Maddox családnévből | kellemes ; kedves | „rendkívül ritka” → „nagyon ritka”
Megyer | ♂ | A honfoglalás kori Megyer ‣ törzsnévből keletkezett | | „néhány előfordulás” → „néhány előfordulás”
Melchior | ♂ | Héber eredetű | a fény királya ; A király ( Isten ) a fény | „néhány előfordulás” → „néhány előfordulás”
Melhior | ♂ | A Melchiro alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Meliton | ♂ | Görög eredetű | ? mézzel teletőltő | „rendkívül ritka” → „rendkívül ritka”
Melkisédek | ♂ | Héber eredetű bibliai név | az igazság királya ; az én királyom igazsága | „néhány előfordulás” → „néhány előfordulás”
Memnon | ♂ | A név régóta ismert , a görög mitológiában szereplő Memnon ‣ etióp király , akit Akhilleusz bosszúból megölt . | | „néhány előfordulás” → „rendkívül ritka”
Ménás | ♂ | A latin Menas névből | erő + erős ; merész | „néhány előfordulás” → „néhány előfordulás”
Mendel | ♂ | Az Emánuel ‣ német megfelelőjének a becéző rövidüléséből | | „rendkívül ritka” → „nagyon ritka”
Ménrót | ♂ | Bizonytalan eredetű | | „néhány előfordulás” → „rendkívül ritka”
Menyhért | ♂ | A germán eredetű Meinhart névből szárm . | erő + erős ; merész | „elég ritka” → „nagyon ritka”
Merlin | ♂ | A wellsi Myrddin név angol alakváltozata | tengeri hegy erőd ? | „néhány előfordulás” → „rendkívül ritka”
Merse | ♂ | Régi magyar | béke + dicsőség | „nagyon ritka” → „elég ritka”
Metód | ♂ | Görög eredetű | érdeklődő ; kutató ; nyomozó | „néhány előfordulás” → „néhány előfordulás”
Mihály | ♂ | Héber eredetű bibliai név | ki olyan , mint az Isten ? | „nagyon gyakori” → „közepesen gyakori”
Mika | ♂ | Miklós ‣ vagy Mihály ‣ név régi rövidült alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Mikán | ♂ | Régi magyar név | ismeretlen | „néhány előfordulás” → „rendkívül ritka”
Mike | ♂ | A Miklós ‣ régi magyar becézőjéből önállósult | | „nagyon ritka” → „nagyon ritka”
Mikeás | ♂ | Bibliai név | Ki olyan , mint Jahve ? | „néhány előfordulás” → „néhány előfordulás”
Mikes | ♂ | A Miklós ‣ régi magyar becézőjéből önállósult | | „rendkívül ritka” → „nagyon ritka”
Miklós | ♂ | A görög Nikolaosz név szláv formájából | győzelem + nép | „nagyon gyakori” → „közepesen gyakori”
Mikó | ♂ | A Miklós ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Miksa | ♂ | A Miklós ‣ régi magyar becézőjéből önállósult | | „nagyon ritka” → „elég ritka”
Milán | ♂ | Szláv eredetű | kedves | „közepesen gyakori” → „rendkívül gyakori”
Miló | ♂ | Több szláv eredetű férfinév ( Milán ‣ , Milos ‣ , Milivoj stb .) rövidült alakváltozata . | | „néhány előfordulás” → „nagyon ritka”
Milos | ♂ | A Mil - kezdetű szláv nevek önállósult becézőjéből | kedves | „nagyon ritka” → „elég ritka”
Miltiádész | ♂ | Görög eredetű név | vörös föld | „néhány előfordulás” → „néhány előfordulás”
Milton | ♂ | Angol eredetű településnévből . | malommal rendelkező | „néhány előfordulás” → „rendkívül ritka”
Mirkó | ♂ | Szláv eredetű | béke + dicsőség | „nagyon ritka” → „elég ritka”
Miron | ♂ | Görög eredetű | tömjén | „nagyon ritka” → „elég ritka”
Misa | ♂ | Mihály ‣ szláv rövidült alakja | ki olyan , mint az Isten ? | „néhány előfordulás” → „nagyon ritka”
Misel | ♂ | Mihály ‣ francia alakváltozata | ki olyan , mint az Isten ? | „néhány előfordulás” → „rendkívül ritka”
Miske | ♂ | Miklós ‣ , esetleg Mihály ‣ régi Mikhál változatának önálló becézője | | „néhány előfordulás” → „néhány előfordulás”
Misó | ♂ | Régi magyar név . Mihály ‣ név önállósult alakváltozata | ki olyan , mint az Isten ? | „néhány előfordulás” → „néhány előfordulás”
Mizse | ♂ | a Mihály ‣ név régi , egyes feltételezések szerint talán szerb-horvát alakváltozata . Megtalálható a Lajosmizse helynévben is . | | „néhány előfordulás” → „rendkívül ritka”
Modesztusz | ♂ | Latin eredetű | szerény ; udvarias | „néhány előfordulás” → „néhány előfordulás”
Mohamed | ♂ | Arab eredetű név | dicséretere méltó | „elég ritka” → „nagyon ritka”
Móka | ♂ | Régi személynév a Mók vagy a Mózes ‣ becéző alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Mór | ♂ | A Móric ‣ név XIX . Századi rövidítése | mór ; szerecsen | „nagyon ritka” → „elég ritka”
Morgan | ♂ | Walesi eredetű angol névből | ? tengerész ; tengermelléki | „rendkívül ritka” → „rendkívül ritka”
Móric | ♂ | A latin Mauritius névből szárm . | mór ; szerecsen | „nagyon ritka” → „nagyon ritka”
Mózes | ♂ | Bibliai név | ? | „elég ritka” → „elég ritka”
Nándor | ♂ | Régi magyar személynév | dunai bolgár | „közepesen gyakori” → „közepesen gyakori”
Napóleon | ♂ | Olasz eredetű név | nápolyi ; Nápoly városából való | „néhány előfordulás” → „néhány előfordulás”
Narcisszusz | ♂ | Görög mitológiai eredetű név | kábító | „néhány előfordulás” → „néhány előfordulás”
Náron | ♂ | Szanszkrit eredetű | gyógyító ; gerceg | „néhány előfordulás” → „néhány előfordulás”
Nasszer | ♂ | Arab eredetű | védő | „néhány előfordulás” → „néhány előfordulás”
Nátán | ♂ | Bibliai név , a héber Netanja rövidülése | Isten ajándéka | „nagyon ritka” → „elég ritka”
Nátánael | ♂ | Héber eredetű bibliai név | Isten ajándéka | „néhány előfordulás” → „rendkívül ritka”
Nataniel | ♂ | A Nátánael ‣ név angol alakváltozatából származik | | „nagyon ritka” → „nagyon ritka”
Nelzon | ♂ | Angol eredetű | Neil fia | „néhány előfordulás” → „rendkívül ritka”
Nemere | ♂ | XIX . századi , költött név az erdélyi Nemere ‣ hegy és a felőle fújó szél nevéből | | „néhány előfordulás” → „néhány előfordulás”
Némó | ♂ | Latin eredetű | név nélküli ; senki | „néhány előfordulás” → „rendkívül ritka”
Nepomuk | ♂ | Nepomuki Szent János ‣ melléknevéből származik | Nepomuk ‣ ( csehországi ) városból való | „néhány előfordulás” → „néhány előfordulás”
Nesztor | ♂ | Görög mitológiai eredetű név | ( mindig ) visszatérő | „néhány előfordulás” → „rendkívül ritka”
Nétus | ♂ | A latin Neitus névből származik | Neith ( Nit ) istennőhöz tartozó | „néhány előfordulás” → „néhány előfordulás”
Nétusz | ♂ | A Nétus ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Nikander | ♂ | Görögből latinosított név | győztes férfi | „néhány előfordulás” → „néhány előfordulás”
Nikétás | ♂ | Görög eredetű név | győztes ; győzedelmes ; diadalmas | „néhány előfordulás” → „néhány előfordulás”
Nikodémus | ♂ | Nikodémusz ‣ alakváltozata | a nép legyőzője ; aki a néppel győz | „néhány előfordulás” → „néhány előfordulás”
Nikodémusz | ♂ | A Bibliában is előforduló görög névnek a latin formájából származik | a nép legyőzője ; aki a néppel győz | „néhány előfordulás” → „néhány előfordulás”
Nikolasz | ♂ | A Miklós ‣ névnek az idegen nyelvi , elsősorban angol megfelelőjéből származik | | „elég ritka” → „közepesen gyakori”
Nikosz | ♂ | görög | | „nagyon ritka” → „rendkívül ritka”
Nimái | ♂ | Szanszkrit eredetű | alkalmazkodó ; aszketikus | „néhány előfordulás” → „rendkívül ritka”
Nimród | ♂ | Bibliai név | vadász | „elég ritka” → „nagyon gyakori”
Nitái | ♂ | Szanszkrit eredetű | ? vezető | „néhány előfordulás” → „néhány előfordulás”
Noé | ♂ | Bibliai név | nyugalom ; vigasztalás ; hosszú élet(ű ) | „nagyon ritka” → „elég ritka”
Noel | ♂ | Francia eredetű név | születésnap ( az Úr születésnapja ; karácsony ) | „közepesen gyakori” → „nagyon gyakori”
Nolen | ♂ | női is | :' nemes származású , híres ' | „néhány előfordulás” → „néhány előfordulás”
Nónusz | ♂ | Latin eredetű név | kilencedik ( gyermek ) | „néhány előfordulás” → „néhány előfordulás”
Norbert | ♂ | Germán eredetű német névből származik | észak + fényes ; híres | „nagyon gyakori” → „nagyon gyakori”
Norisz | ♂ | Az angol Norris névből származik , ez pedig a Norman ‣ becéző rövidüléséből önállósult | | „rendkívül ritka” → „néhány előfordulás”
Norman | ♂ | Germán eredetű angol és német névből származik | észak + férfi | „elég ritka” → „nagyon ritka”
Norton | ♂ | Angol név | északi ( városból való ) | „rendkívül ritka” → „nagyon ritka”
Nyék | ♂ | Régi magyar törzsnév | kerítés ; sövény | „néhány előfordulás” → „néhány előfordulás”
Nyikoláj | ♂ | Miklós ‣ név szláv alakváltozata | győzelem + nép | „néhány előfordulás” → „néhány előfordulás”
Oberon | ♂ | A germán eredetű Alberich névből származó francia név átvétele | tündér + hatalmas ; uralkodó | „néhány előfordulás” → „néhány előfordulás”
Odiló | ♂ | Német eredetű név ; Az Odó ‣ német becézője | | „néhány előfordulás” → „néhány előfordulás”
Odin | ♂ | A germán mitológia főistene , Wotan nevének a skandináv alakváltozatából származik | | „néhány előfordulás” → „rendkívül ritka”
Odisszeusz | ♂ | Görög eredetű név ; Odüsszeusz mondai hős nevéből származik | dühös ; haragvó | „néhány előfordulás” → „néhány előfordulás”
Odó | ♂ | A germán eredetű Odo névből származik | birtok ; gazdagság | „néhány előfordulás” → „néhány előfordulás”
Ódor | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Oguz | ♂ | Régi magyar személynév | nyíl | „néhány előfordulás” → „rendkívül ritka”
Oktáv | ♂ | A latin Octavius nemzetségnévből származik | nyolcadik ( gyermek ) | „néhány előfordulás” → „néhány előfordulás”
Oktávián | ♂ | A latin Octavianus név rövidülése | az Octavius nemzetséghez tartozó ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Olaf | ♂ | Skandináv eredetű név | előd ; ős + maradék ; hátrahagyott ; utód | „rendkívül ritka” → „néhány előfordulás”
Olavi | ♂ | Az Olaf ‣ név finn eredetű alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Oldamur | ♂ | Ismeretlen eredetű | | „néhány előfordulás” → „néhány előfordulás”
Oleg | ♂ | szláv eredetű | erős ; egészséges | „nagyon ritka” → „néhány előfordulás”
Olivér | ♂ | Általában latin eredetűnek tartják ; Más feltevés szerint germán eredetű | olajfa(ültető ) ; tündér ; manó + sereg | „közepesen gyakori” → „nagyon gyakori”
Omár | ♂ | Arab eredetű név | ékesszóló | „rendkívül ritka” → „néhány előfordulás”
Ompoly | ♂ | Az erdélyi Ompoly ‣ folyó nevéből ered | Ampeiumból való | „néhány előfordulás” → „rendkívül ritka”
Omri | ♂ | Héber eredetű bibliai név | Jahve az én osztályrészem ; kévegyűjtő ; kévekötő ; támadó ; uralkodó ; harcias | „néhány előfordulás” → „néhány előfordulás”
Ond | ♂ | Régi magyar személynév | ónocska ; kis öreg | „néhány előfordulás” → „néhány előfordulás”
Orbán | ♂ | A latin Urbanus névből származik | városi | „nagyon ritka” → „rendkívül ritka”
Orbó | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Orda | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Oresztész | ♂ | Görög mitológiai eredetű név | hegylakó | „rendkívül ritka” → „néhány előfordulás”
Orfeusz | ♂ | Görög mitológiai eredetű név | árva ; magányos ; nélkülöző ; rejtélyes | „néhány előfordulás” → „néhány előfordulás”
Orion | ♂ | Görög mitológiai eredetű név | határ | „néhány előfordulás” → „néhány előfordulás”
Orlandó | ♂ | A Roland ‣ név olasz megfelelőjéből származik | | „néhány előfordulás” → „nagyon ritka”
